type,busbar_name,existing_line_name,percentage
K,85-012.309-K-2,83-012.200-K-0-BR4,46.38297872340401
K,85-012.297-K-2,83-012.200-K-0-BR4,41.276595744681195
K,85-012.284-K-2,83-012.200-K-0-BR4,35.744680851064246
K,85-012.270-K-2,83-012.200-K-0-BR4,29.787234042553155
K,85-012.255-K-2,83-012.200-K-0-BR4,23.40425531914945
K,85-012.239-K-2,83-012.200-K-0-BR4,16.595744680851606
K,85-012.222-K-2,83-012.200-K-0-BR4,9.36170212765963
K,85-012.205-K-2,83-012.200-K-0-BR4,2.1276595744684066
K,85-012.187-K-2,84-011.963-K-3-GR1,96.96969696969636
K,85-012.168-K-2,84-011.963-K-3-GR1,88.74458874458814
K,85-012.149-K-2,84-011.963-K-3-GR1,80.51948051947993
K,85-012.129-K-2,84-011.963-K-3-GR1,71.8614718614715
K,85-012.108-K-2,84-011.963-K-3-GR1,62.77056277056291
K,85-012.087-K-2,84-011.963-K-3-GR1,53.67965367965354
K,85-012.065-K-2,84-011.963-K-3-GR1,44.15584415584398
K,85-012.042-K-2,84-011.963-K-3-GR1,34.19913419913422
K,85-012.019-K-2,84-011.963-K-3-GR1,24.242424242424477
K,85-011.995-K-2,84-011.963-K-3-GR1,13.852813852813767
K,85-011.971-K-2,84-011.963-K-3-GR1,3.463203463203826
K,85-011.946-K-2,83-011.804-K-1-BR3,89.3081761006292
K,85-011.920-K-2,83-011.804-K-1-BR3,72.95597484276757
K,85-011.894-K-2,83-011.804-K-1-BR3,56.60377358490596
K,85-011.868-K-2,83-011.804-K-1-BR3,40.251572327044336
K,85-011.841-K-2,83-011.804-K-1-BR3,23.270440251571877
K,85-011.814-K-2,83-011.804-K-1-BR3,6.289308176100537
K,85-011.786-K-2,81-011.748-K-4-81-V2,97.4358974358944
K,85-011.758-K-2,81-011.748-K-4-81-V2,25.64102564102412
K,85-011.730-K-2,87-011.713-K-7-V1,48.57142857143191
K,85-011.702-K-2,87-011.686-K-11-5-L1,59.259259259260965
K,85-011.674-K-2,81-011.647-K-34-V3,69.23076923076783
K,85-011.646-K-2,87-011.632-K-12-7-L1,93.33333333333728
K,85-011.618-K-2,82-011.572-K-1-BR3,76.66666666666795
K,85-011.590-K-2,82-011.572-K-1-BR3,30.000000000000888
K,85-011.562-K-2,82-011.420-K-2-L1,93.42105263157906
K,85-011.534-K-2,82-011.420-K-2-L1,75.00000000000088
K,85-011.506-K-2,82-011.420-K-2-L1,56.57894736842153
K,85-011.478-K-2,82-011.420-K-2-L1,38.15789473684218
K,85-011.450-K-2,82-011.420-K-2-L1,19.736842105262838
